model,dataset,setting,quantizer,quantizer_backend,h_label,h,probe_dirs,loss_plus,loss_minus,finite_difference,fd_h_over_2,richardson_self_consistency,finite_rate,delta_q_norm,nominal_delta_norm,alignment,norm_ratio,active_frac,code_change_frac,clip_frac,clip_frac_w_plus,clip_frac_w_minus,saturation_frac,saturation_frac_w,scale_min_global,scale_median_weighted,scale_max_global,alpha_mean,alpha_lt_1_frac,grid_id_sharing_check,scale_id_sharing_check,pair_shared_grid_check,fresh_round_codes_check,corr_fd_true,nMSE_fd_true,true_gradient_metrics
roberta-large,SST-5,roberta_large_sst5,awq,awq_style_g128_fake_quant,2e-3,0.002,4,1.712646484375,1.68310546875,7.38525390625,15.2587890625,5.180122655113282,1.0,75.21406682601074,75.42543678593127,0.9977490222476382,0.9971976304241219,0.9551589762358073,0.9551589762358073,0.008067213961136244,0.005536405941773615,0.0055387691130712215,0.008067213961136244,0.008067213961136244,0.0002494271320756525,0.0004376843917212532,0.0009059155127033591,0.9988737488075861,0.022395098337679015,True,True,True,True,,,unavailable_not_computed
roberta-large,SST-5,roberta_large_sst5,awq,awq_style_g128_fake_quant,3e-3,0.003,4,1.693359375,1.702392578125,-1.5055338541666667,-5.533854166666666,0.793838631759211,1.0,112.69225309066705,113.13934460300518,0.9982454163919684,0.9960483109643942,0.9700644550093328,0.9700644550093328,0.008067213961136244,0.0060888241296574806,0.00608554271762002,0.008067213961136244,0.008067213961136244,0.0002494271320756525,0.0004376843917212532,0.0009059155127033591,0.9988737488075861,0.022395098337679015,True,True,True,True,,,unavailable_not_computed
roberta-large,SST-5,roberta_large_sst5,awq,awq_style_g128_fake_quant,5e-3,0.005,4,1.820068359375,1.689697265625,13.037109375,9.423828125,0.9811585672416364,1.0,187.49001238819437,188.5659052087787,0.9983229248052338,0.9942943406908539,0.9820126070582269,0.9820126070582269,0.008067213961136244,0.007706328352001638,0.0077110982646358085,0.008067213961136244,0.008067213961136244,0.0002494271320756525,0.0004376843917212532,0.0009059155127033591,0.9988737488075861,0.022395098337679015,True,True,True,True,,,unavailable_not_computed
roberta-large,SST-5,roberta_large_sst5,awq,awq_style_g128_fake_quant,1e-2,0.01,4,1.684814453125,1.74462890625,-2.99072265625,-3.4423828125,3.159128289471202,1.0,372.46146791538456,377.12157760244713,0.9975579684900931,0.9876429514848998,0.9910121839833288,0.9910121839833288,0.008067213961136244,0.015185288052391293,0.015180724870349814,0.008067213961136244,0.008067213961136244,0.0002494271320756525,0.0004376843917212532,0.0009059155127033591,0.9988737488075861,0.022395098337679015,True,True,True,True,,,unavailable_not_computed
roberta-large,SST-5,roberta_large_sst5,rtnclip,G128_RTNClip_shared_grid_fake_quant,1e-5,1e-05,4,1.623046875,1.62548828125,-122.07031249999999,-73.2421875,0.7708333333333264,1.0,1.5847455282199225,0.3771301506220917,0.23610381504162997,4.202118371105218,0.036267380579425024,0.036267380579425024,0.008036021236646764,0.008036030340662883,0.008035908717721587,0.008036021236646764,0.008036021236646764,0.0002494271320756525,0.0004382035277166916,0.0009059155127033591,0.9999999913716342,0.0,True,True,True,True,,,unavailable_not_computed
roberta-large,SST-5,roberta_large_sst5,rtnclip,G128_RTNClip_shared_grid_fake_quant,3e-5,3e-05,4,1.622314453125,1.6240234375,-28.483072916666668,-8.138020833333334,4069010416667.1045,1.0,2.7425673544000038,1.1313527825355272,0.40927704107590884,2.4241486809195525,0.10864052645220747,0.10864052645220747,0.008036021236646764,0.008035632395226299,0.008035815193205878,0.008036021236646764,0.008036021236646764,0.0002494271320756525,0.0004382035277166916,0.0009059155127033591,0.9999999913716342,0.0,True,True,True,True,,,unavailable_not_computed
roberta-large,SST-5,roberta_large_sst5,rtnclip,G128_RTNClip_shared_grid_fake_quant,1e-4,0.0001,4,1.62158203125,1.623046875,-7.32421875,-19.53125,1.123809523809476,1.0,5.076809610758621,3.771302858036026,0.7379828651083794,1.3461686326397002,0.3563917095600808,0.3563917095600808,0.008036021236646764,0.007910350268468022,0.007910821357287542,0.008036021236646764,0.008036021236646764,0.0002494271320756525,0.0004382035277166916,0.0009059155127033591,0.9999999913716342,0.0,True,True,True,True,,,unavailable_not_computed
roberta-large,SST-5,roberta_large_sst5,rtnclip,G128_RTNClip_shared_grid_fake_quant,3e-4,0.0003,4,1.628662109375,1.61865234375,16.682942708333332,10.579427083333334,1.5416666666662044,1.0,11.796456952708294,11.313882261977328,0.9552249072425854,1.0426533243337908,0.7154567311910963,0.7154567311910963,0.008036021236646764,0.006293725627191721,0.0062928629062532155,0.008036021236646764,0.008036021236646764,0.0002494271320756525,0.0004382035277166916,0.0009059155127033591,0.9999999913716342,0.0,True,True,True,True,,,unavailable_not_computed
roberta-large,SST-5,roberta_large_sst5,rtnclip,G128_RTNClip_shared_grid_fake_quant,1e-3,0.001,4,1.631103515625,1.619384765625,5.859375,10.986328125,0.36121794871780744,1.0,37.746170094342766,37.71345165456623,0.994758869163691,1.0008675536065534,0.910883077234695,0.910883077234695,0.008036021236646764,0.005200416056843454,0.005205969216700041,0.008036021236646764,0.008036021236646764,0.0002494271320756525,0.0004382035277166916,0.0009059155127033591,0.9999999913716342,0.0,True,True,True,True,,,unavailable_not_computed
roberta-large,SST-5,roberta_large_sst5,rtnclip,G128_RTNClip_shared_grid_fake_quant,2e-3,0.002,4,1.65771484375,1.64794921875,2.44140625,6.103515625,0.34871232568599475,1.0,75.21783158598284,75.42582009123987,0.997807081952295,0.9972424759876188,0.9552795355665283,0.9552795355665283,0.008036021236646764,0.005431109711780175,0.005429842041889096,0.008036021236646764,0.008036021236646764,0.0002494271320756525,0.0004382035277166916,0.0009059155127033591,0.9999999913716342,0.0,True,True,True,True,,,unavailable_not_computed
roberta-large,SST-5,roberta_large_sst5,rtnclip,G128_RTNClip_shared_grid_fake_quant,3e-3,0.003,4,1.62158203125,1.656005859375,-5.7373046875,0.4069010416666661,0.9314866350579967,1.0,112.69561069008623,113.13655070111002,0.998294329300313,0.9961025856401504,0.9701787025283134,0.9701787025283134,0.008036021236646764,0.0059883301390035205,0.005985904405445115,0.008036021236646764,0.008036021236646764,0.0002494271320756525,0.0004382035277166916,0.0009059155127033591,0.9999999913716342,0.0,True,True,True,True,,,unavailable_not_computed
roberta-large,SST-5,roberta_large_sst5,rtnclip,G128_RTNClip_shared_grid_fake_quant,5e-3,0.005,4,1.739990234375,1.6474609375,9.2529296875,12.40234375,0.5708333333333087,1.0,187.50335366345524,188.5678697318994,0.9983586099683888,0.9943547325965242,0.9821025466842043,0.9821025466842043,0.008036021236646764,0.007612670686112475,0.007617049650598437,0.008036021236646764,0.008036021236646764,0.0002494271320756525,0.0004382035277166916,0.0009059155127033591,0.9999999913716342,0.0,True,True,True,True,,,unavailable_not_computed
roberta-large,SST-5,roberta_large_sst5,rtnclip,G128_RTNClip_shared_grid_fake_quant,1e-2,0.01,4,1.7841796875,1.6494140625,6.73828125,0.390625,1.9580003910728814,1.0,372.5031635404233,377.12763926978624,0.9975869729585898,0.9877376378530912,0.9910483934066127,0.9910483934066127,0.008036021236646764,0.015062203134995032,0.015062481600903491,0.008036021236646764,0.008036021236646764,0.0002494271320756525,0.0004382035277166916,0.0009059155127033591,0.9999999913716342,0.0,True,True,True,True,,,unavailable_not_computed
