model,task,precision,perturbation_mode,layer,h,A_uniform,p_active,V_norm,V_align,p_clip,jump_mean,jump_median,jump_zero_frac,jump_one_frac,jump_ge2_frac,relative_disp_layer
roberta-large,sst-5,int4,dense,roberta.encoder.layer.16.output.dense.weight,1e-08,1.0,0.0,0.0,nan,0.029239766081871343,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.17.attention.self.query.weight,1e-08,1.0,0.0,0.0,nan,0.023391812865497075,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.17.attention.self.key.weight,1e-08,1.0,0.0,0.0,nan,0.024853801169590642,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.17.attention.self.value.weight,1e-08,1.0,0.0,0.0,nan,0.027777777777777776,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.17.attention.output.dense.weight,1e-08,1.0,0.0,0.0,nan,0.03508771929824561,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.17.intermediate.dense.weight,1e-08,1.0,0.0,0.0,nan,0.03070175438596491,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.17.output.dense.weight,1e-08,1.0,0.0,0.0,nan,0.021929824561403508,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.18.attention.self.query.weight,1e-08,1.0,0.0,0.0,nan,0.021929824561403508,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.18.attention.self.key.weight,1e-08,1.0,0.0,0.0,nan,0.024853801169590642,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.18.attention.self.value.weight,1e-08,1.0,0.0,0.0,nan,0.03216374269005848,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.18.attention.output.dense.weight,1e-08,1.0,0.0,0.0,nan,0.03508771929824561,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.18.intermediate.dense.weight,1e-08,522542823.89231235,0.0012335526315789473,20954.976874326298,0.03283017601076299,0.02631578947368421,0.0012335526315789473,0.0,0.998766447368421,0.0012335526315789473,0.0,0.007884757076201995
roberta-large,sst-5,int4,dense,roberta.encoder.layer.18.output.dense.weight,1e-08,1.0,0.0,0.0,nan,0.02046783625730994,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.19.attention.self.query.weight,1e-08,1.0,0.0,0.0,nan,0.03070175438596491,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.19.attention.self.key.weight,1e-08,1.0,0.0,0.0,nan,0.011695906432748537,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.19.attention.self.value.weight,1e-08,1.0,0.0,0.0,nan,0.033625730994152045,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.19.attention.output.dense.weight,1e-08,1.0,0.0,0.0,nan,0.029239766081871343,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.19.intermediate.dense.weight,1e-08,1.0,0.0,0.0,nan,0.019005847953216373,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.19.output.dense.weight,1e-08,1.0,0.0,0.0,nan,0.024853801169590642,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.20.attention.self.query.weight,1e-08,1.0,0.0,0.0,nan,0.029239766081871343,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.20.attention.self.key.weight,1e-08,1.0,0.0,0.0,nan,0.024853801169590642,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.20.attention.self.value.weight,1e-08,1.0,0.0,0.0,nan,0.03216374269005848,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.20.attention.output.dense.weight,1e-08,1.0,0.0,0.0,nan,0.027777777777777776,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.20.intermediate.dense.weight,1e-08,1.0,0.0,0.0,nan,0.02631578947368421,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.20.output.dense.weight,1e-08,1.0,0.0,0.0,nan,0.02631578947368421,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.21.attention.self.query.weight,1e-08,1.0,0.0,0.0,nan,0.013157894736842105,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.21.attention.self.key.weight,1e-08,1.0,0.0,0.0,nan,0.023391812865497075,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.21.attention.self.value.weight,1e-08,1.0,0.0,0.0,nan,0.023391812865497075,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.21.attention.output.dense.weight,1e-08,1.0,0.0,0.0,nan,0.033625730994152045,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.21.intermediate.dense.weight,1e-08,1.0,0.0,0.0,nan,0.023391812865497075,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.21.output.dense.weight,1e-08,1.0,0.0,0.0,nan,0.017543859649122806,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.22.attention.self.query.weight,1e-08,1.0,0.0,0.0,nan,0.019005847953216373,0.0,0.0,1.0,0.0,0.0,0.0
