precision_mode,direction_type,sparse_rate,sparse_mode,sparse_rescale,h_raw,h_active,num_probe_rows,num_probe_directions,num_probe_batches,probe_active_frac_mean,probe_alignment_mean,probe_norm_ratio_mean,delta_q_norm_mean,nominal_delta_norm_mean,fd_zero_ratio,fd_mean,fd_std,d_true_mean,d_true_std,corr_fd_true,nMSE_fd_true,sign_agreement,window_candidate
int8,sparse,0.03,bernoulli,inv_sqrt_p,0.0001299038105676658,0.00075,50,50,1,0.06399245986662361,0.6130902523274763,1.6334909351032583,8.571641493409388,5.247426658875302,0.0,4.434785706400871,17.940266051558538,2.290077631473541,12.155127218113021,0.8187726672360642,0.7654455667946289,0.82,True
int8,sparse,0.03,bernoulli,inv_sqrt_p,0.0002598076211353316,0.0015,50,50,1,0.06970519486260739,0.8070016720647883,1.2404226610309215,13.018074135720703,10.494853317750604,0.0,3.3467920635640622,14.743358649749776,2.290077631473541,12.155127218113021,0.9245233902848458,0.2279048484305766,0.86,True
int8,sparse,0.03,bernoulli,inv_sqrt_p,0.0005196152422706632,0.003,50,50,1,0.08169046374682953,0.9306211533296564,1.074984919909203,22.563639638000446,20.989706635501207,0.0,2.3338272535800932,13.037032115248797,2.290077631473541,12.155127218113021,0.9635842323355494,0.08053417051783855,0.92,True
int8,sparse,0.03,bernoulli,inv_sqrt_p,0.0010392304845413265,0.006,50,50,1,0.11648001196220578,0.9769387188180638,1.02370418618349,42.97452300025217,41.979413271002414,0.0,2.681955906152725,12.07746602035869,2.290077631473541,12.155127218113021,0.981232862543972,0.03705922480681652,0.98,True
int8,sparse,0.03,bernoulli,inv_sqrt_p,0.002078460969082653,0.012,50,50,1,0.21297443493283352,0.9920074536291603,1.0080726030117109,84.63660547687553,83.95882654200483,0.0,2.496402361989021,11.662735601524155,2.290077631473541,12.155127218113021,0.9808611052490597,0.037331185047610765,0.96,True
int8,sparse,0.03,bernoulli,inv_sqrt_p,0.004156921938165306,0.024,50,50,1,0.2368552230646773,0.997174440318557,1.0028345213487202,168.39362710135484,167.91765308400966,0.0,1.5311841839551925,10.588939528561156,2.290077631473541,12.155127218113021,0.8909403056396739,0.20329870944483489,0.84,True
int8,sparse,0.1,bernoulli,inv_sqrt_p,0.00023717082451262845,0.00075,50,50,1,0.17670508961625853,0.6139980565039057,1.6302162724467968,15.618060980272816,9.580375363377609,0.0,1.9275276577472686,17.378781559682576,2.4725828313827516,15.203006261834748,0.7764994556916835,0.5190123461520451,0.78,True
int8,sparse,0.1,bernoulli,inv_sqrt_p,0.0004743416490252569,0.0015,50,50,1,0.19374903094989337,0.8081609263043076,1.2381300854470665,23.723474351679638,19.160750726755218,0.0,2.3077574610710143,16.987796395892303,2.4725828313827516,15.203006261834748,0.9569491078838158,0.10727207332904606,0.94,True
int8,sparse,0.1,bernoulli,inv_sqrt_p,0.0009486832980505138,0.003,50,50,1,0.23041725002512758,0.9320082203322698,1.0731663113737002,41.12531770315544,38.321501453510436,0.0,3.0188388873636725,15.147143050666337,2.4725828313827516,15.203006261834748,0.9817639174690634,0.03667264277150556,0.94,True
int8,sparse,0.1,bernoulli,inv_sqrt_p,0.0018973665961010276,0.006,50,50,1,0.29491853291815995,0.9785587343181421,1.0219371795515266,78.32431511828548,76.64300290702087,0.0,2.414355395399034,14.011323801787654,2.4725828313827516,15.203006261834748,0.9824614024168168,0.037494730196405715,0.92,True
int8,sparse,0.1,bernoulli,inv_sqrt_p,0.003794733192202055,0.011999999999999999,50,50,1,0.3680767178667005,0.9933217302954247,1.0067258010779727,154.31696801152242,153.28600581404174,0.0,1.1431726789474488,11.834708290984839,2.4725828313827516,15.203006261834748,0.9392351261589259,0.14743732123421516,0.92,True
int8,sparse,0.1,bernoulli,inv_sqrt_p,0.00758946638440411,0.023999999999999997,50,50,1,0.41274418291585,0.9978010993431559,1.0022039966642695,307.2476919553184,306.5720116280835,0.0,0.2703749948740006,6.144710915373937,2.4725828313827516,15.203006261834748,0.13788299768095255,1.045235909586726,0.54,True
