model,task,precision,perturbation_mode,h,A_uniform,p_active,V_norm,V_align,p_clip,relative_disp,locality_proxy,jump_zero_frac,jump_one_frac,jump_ge2_frac,source_path,p_clip_base,p_clip_delta,p_active_norm,locality_rel_disp_limit,locality_relaxed_for_int4,score_geom,nMSE_loss,corr_loss,normalized_curve
facebook/opt-1.3b,sst-5,int8,sparse_p0p1,1e-07,4368.866308506259,8.367323957759872e-05,64.71853579444522,0.025958566277802,0.0081077023172013,0.000141710123613,22.221206937303474,0.9999163267604224,8.367323957759872e-05,0.0,/scratch/jy03364/MeZO_/outputs/interval_h_selection_8h_probes/opt13b_sst5_int8/interval_geometry_summary.csv,0.0081077023172013,0.0,0.0008367323957759871,0.15,False,4.685502331704354,,,
facebook/opt-1.3b,sst-5,int8,sparse_p0p1,3e-07,869.277945581736,0.0001546781942845,29.073844648039344,0.0392696988609359,0.0081077023172013,0.0001895003572878,7.554881004108265,0.9998453218057154,0.0001546781942845,0.0,/scratch/jy03364/MeZO_/outputs/interval_h_selection_8h_probes/opt13b_sst5_int8/interval_geometry_summary.csv,0.0081077023172013,0.0,0.0015467819428449999,0.15,False,4.127022687010974,,,
facebook/opt-1.3b,sst-5,int8,sparse_p0p1,1e-06,207.0980139158648,0.0004324420699664,14.34829606871903,0.0725911221936224,0.0081081715129372,0.0003087857356572,4.503290421278133,0.9995675579300336,0.0004324420699664,0.0,/scratch/jy03364/MeZO_/outputs/interval_h_selection_8h_probes/opt13b_sst5_int8/interval_geometry_summary.csv,0.0081077023172013,4.6919573590091523e-07,0.004324420699663999,0.15,False,3.6137644089047116,,,
facebook/opt-1.3b,sst-5,int8,sparse_p0p1,3e-06,64.29959097220625,0.0012070842300185,8.064099305838981,0.1232751935950892,0.0081084843100945,0.0005195257472578,3.905494373200441,0.9987929157699816,0.0012070842300185,0.0,/scratch/jy03364/MeZO_/outputs/interval_h_selection_8h_probes/opt13b_sst5_int8/interval_geometry_summary.csv,0.0081077023172013,7.819928931999953e-07,0.012070842300185,0.15,False,3.15323299633553,,,
facebook/opt-1.3b,sst-5,int8,sparse_p0p1,1e-05,18.638379339648196,0.0040452492367749,4.433185981306848,0.2289632291214293,0.0081091099044091,0.0009508488572506,3.894097304732739,0.995954750763225,0.0040450928381962,1.5639857864971726e-07,/scratch/jy03364/MeZO_/outputs/interval_h_selection_8h_probes/opt13b_sst5_int8/interval_geometry_summary.csv,0.0081077023172013,1.4075872077998902e-06,0.040452492367749,0.15,False,2.5349669267465407,,,
facebook/opt-1.3b,sst-5,int8,sparse_p0p1,3e-05,5.496474480115084,0.0119299271808217,2.5480181270159634,0.3919626125278603,0.0081114558830889,0.0016356832337084,3.779363906328273,0.9880700728191782,0.0118704957209348,5.943145988689255e-05,/scratch/jy03364/MeZO_/outputs/interval_h_selection_8h_probes/opt13b_sst5_int8/interval_geometry_summary.csv,0.0081077023172013,3.753565887601104e-06,0.11929927180821699,0.15,False,1.8585194847987878,,,
facebook/opt-1.3b,sst-5,int8,sparse_p0p1,0.0001,1.025992814224389,0.0359615071818227,1.419207031012312,0.7004288250335936,0.0081133326660327,0.0029788322246622,3.73832776366932,0.9640384928181772,0.0332853711025474,0.0026761360792753,/scratch/jy03364/MeZO_/outputs/interval_h_selection_8h_probes/opt13b_sst5_int8/interval_geometry_summary.csv,0.0081077023172013,5.630348831400789e-06,0.359615071818227,0.15,False,0.8658654203187757,,,
facebook/opt-1.3b,sst-5,int8,sparse_p0p1,0.0003,0.1311655158995081,0.0697773822631499,1.060414780819343,0.9398702649563117,0.0081325696912066,0.0055482909555195,4.9978165035318405,0.93022261773685,0.0418868237325459,0.027890558530604,/scratch/jy03364/MeZO_/outputs/interval_h_selection_8h_probes/opt13b_sst5_int8/interval_geometry_summary.csv,0.0081077023172013,2.4867374005300286e-05,0.697773822631499,0.15,False,0.5212810332635865,,,
facebook/opt-1.3b,sst-5,int8,sparse_p0p1,0.001,0.0138153908754479,0.090169098143236,1.0028378047083228,0.9931147873770824,0.0082023234572844,0.0154701620431324,27.189227926796992,0.909830901856764,0.0185624781041989,0.071606620039037,/scratch/jy03364/MeZO_/outputs/interval_h_selection_8h_probes/opt13b_sst5_int8/interval_geometry_summary.csv,0.0081077023172013,9.462114008310096e-05,0.9016909814323599,0.15,False,0.4476672317225304,,,
facebook/opt-1.3b,sst-5,int8,sparse_p0p1,0.003,0.0038764264137253,0.0967029615634853,0.9960581923426024,0.9980620186593074,0.0084863432761123,0.0453302971460116,222.6986875229516,0.9032970384365148,0.0065079012561933,0.0901950603072919,/scratch/jy03364/MeZO_/outputs/interval_h_selection_8h_probes/opt13b_sst5_int8/interval_geometry_summary.csv,0.0081077023172013,0.0003786409589110005,0.967029615634853,0.15,False,0.48836798471475257,,,
