model,task,precision,perturbation_mode,layer,h,A_uniform,p_active,V_norm,V_align,p_clip,jump_mean,jump_median,jump_zero_frac,jump_one_frac,jump_ge2_frac,relative_disp_layer
roberta-large,sst-5,int8,dense,roberta.encoder.layer.17.output.dense.weight,0.0001,2.1407300730914423,0.21137691745799853,1.7708567748178459,0.5631955183779325,0.01095690284879474,0.21174214755295837,0.0,0.7886230825420014,0.2110116873630387,0.0003652300949598247,0.007754263282814654
roberta-large,sst-5,int8,dense,roberta.encoder.layer.18.attention.self.query.weight,0.0001,3.3118171128686034,0.12901753104455807,2.0480307072293247,0.4600785482674118,0.007304601899196494,0.12901753104455807,0.0,0.870982468955442,0.12901753104455807,0.0,0.005724030061487749
roberta-large,sst-5,int8,dense,roberta.encoder.layer.18.attention.self.key.weight,0.0001,3.7102614070819993,0.147918188458729,2.180073324986605,0.469312867245353,0.010226442658875092,0.147918188458729,0.0,0.852081811541271,0.147918188458729,0.0,0.006229014031743438
roberta-large,sst-5,int8,dense,roberta.encoder.layer.18.attention.self.value.weight,0.0001,2.271411103835968,0.19211102994886778,1.7835080692784138,0.5352248412670797,0.01241782322863404,0.19220233747260773,0.0,0.8078889700511322,0.19201972242512783,9.130752373995617e-05,0.0068038995189628765
roberta-large,sst-5,int8,dense,roberta.encoder.layer.18.attention.output.dense.weight,0.0001,1.8732962015103365,0.2503652300949598,1.7149380717281049,0.6024463091871947,0.010226442658875092,0.2504565376186998,0.0,0.7496347699050402,0.2502739225712199,9.130752373995617e-05,0.007630394586006845
roberta-large,sst-5,int8,dense,roberta.encoder.layer.18.intermediate.dense.weight,0.0001,2.4974046268937156,0.1745799853907962,1.8550369832135107,0.5238410586307521,0.006574141709276844,0.17467129291453615,0.0,0.8254200146092038,0.17448867786705624,9.130752373995617e-05,0.0064749054609125395
roberta-large,sst-5,int8,dense,roberta.encoder.layer.18.output.dense.weight,0.0001,2.4356863663476527,0.20032870708546385,1.8393710423782161,0.5301726589591935,0.004382761139517896,0.20051132213294376,0.0,0.7996712929145362,0.20014609203798392,0.00018261504747991235,0.008620644825459671
roberta-large,sst-5,int8,dense,roberta.encoder.layer.19.attention.self.query.weight,0.0001,3.675424772683554,0.1412527392257122,2.1614923940640187,0.4611722057188833,0.007304601899196494,0.1412527392257122,0.0,0.8587472607742878,0.1412527392257122,0.0,0.006246038518124327
roberta-large,sst-5,int8,dense,roberta.encoder.layer.19.attention.self.key.weight,0.0001,3.584496764021562,0.1339481373265157,2.1154991919345836,0.44701439411937904,0.005113221329437546,0.1339481373265157,0.0,0.8660518626734843,0.1339481373265157,0.0,0.006338952912748115
roberta-large,sst-5,int8,dense,roberta.encoder.layer.19.attention.self.value.weight,0.0001,2.2612881426814684,0.21238130021913806,1.8083614995738493,0.5546241885372964,0.008765522279035792,0.21311176040905772,0.0,0.787618699780862,0.2116508400292184,0.0007304601899196494,0.006990077389740514
roberta-large,sst-5,int8,dense,roberta.encoder.layer.19.attention.output.dense.weight,0.0001,2.040873018863858,0.2558436815193572,1.7680251859482305,0.5899101727107129,0.01077428780131483,0.25639152666179693,0.0,0.7441563184806428,0.25529583637691744,0.000547845142439737,0.008180528819472557
roberta-large,sst-5,int8,dense,roberta.encoder.layer.19.intermediate.dense.weight,0.0001,2.596716296498044,0.1743973703433163,1.8663777734939981,0.5054533384499849,0.008035062089116142,0.17448867786705624,0.0,0.8256026296566837,0.17430606281957634,9.130752373995617e-05,0.006471371368080967
roberta-large,sst-5,int8,dense,roberta.encoder.layer.19.output.dense.weight,0.0001,2.4359215830215764,0.20927684441197955,1.8657975376261764,0.5478684603159352,0.006574141709276844,0.20945945945945946,0.0,0.7907231555880204,0.20909422936449965,0.00018261504747991235,0.007943551421295967
roberta-large,sst-5,int8,dense,roberta.encoder.layer.20.attention.self.query.weight,0.0001,3.768060251115702,0.1397918188458729,2.1792047437580213,0.4544850715735775,0.01095690284879474,0.1397918188458729,0.0,0.8602081811541271,0.1397918188458729,0.0,0.00610479212219584
roberta-large,sst-5,int8,dense,roberta.encoder.layer.20.attention.self.key.weight,0.0001,3.6513697929123103,0.1331263696128561,2.1367061765776714,0.447584733581972,0.01095690284879474,0.1331263696128561,0.0,0.8668736303871439,0.1331263696128561,0.0,0.006114986781293875
roberta-large,sst-5,int8,dense,roberta.encoder.layer.20.attention.self.value.weight,0.0001,1.825581370446167,0.2368517165814463,1.6802781643814917,0.5944093164192674,0.004382761139517896,0.23785609934258584,0.0,0.7631482834185537,0.2358473338203068,0.0010043827611395178,0.007495684576962014
roberta-large,sst-5,int8,dense,roberta.encoder.layer.20.attention.output.dense.weight,0.0001,1.4592128028385283,0.25447406866325784,1.5583606093489943,0.6316917201928365,0.005843681519357195,0.2548392987582177,0.0,0.7455259313367422,0.254108838568298,0.0003652300949598247,0.00824739436890078
roberta-large,sst-5,int8,dense,roberta.encoder.layer.20.intermediate.dense.weight,0.0001,2.5917156910270958,0.1787801314828342,1.87557417111772,0.5123674005222467,0.009495982468955442,0.1787801314828342,0.0,0.8212198685171658,0.1787801314828342,0.0,0.00677901823283993
roberta-large,sst-5,int8,dense,roberta.encoder.layer.20.output.dense.weight,0.0001,2.46069517362777,0.19284149013878743,1.8628780898829107,0.5396525479510007,0.009495982468955442,0.19311541271000732,0.0,0.8071585098612125,0.19256756756756757,0.0002739225712198685,0.00749866976023674
roberta-large,sst-5,int8,dense,roberta.encoder.layer.21.attention.self.query.weight,0.0001,3.7265926620975045,0.13924397370343317,2.159055847591871,0.4480484668829927,0.008035062089116142,0.13924397370343317,0.0,0.8607560262965669,0.13924397370343317,0.0,0.00639803594028086
roberta-large,sst-5,int8,dense,roberta.encoder.layer.21.attention.self.key.weight,0.0001,4.354697118848595,0.15275748721694668,2.352503182186774,0.46314996274361325,0.007304601899196494,0.15275748721694668,0.0,0.8472425127830533,0.15275748721694668,0.0,0.006859237227230444
roberta-large,sst-5,int8,dense,roberta.encoder.layer.21.attention.self.value.weight,0.0001,1.8297475021215002,0.24388239590942293,1.687277032596868,0.5976575200060491,0.008035062089116142,0.24433893352812272,0.0,0.756117604090577,0.24342585829072316,0.0004565376186997809,0.007802738949818282
roberta-large,sst-5,int8,dense,roberta.encoder.layer.21.attention.output.dense.weight,0.0001,1.4381537775270532,0.266617969320672,1.5620016267657417,0.6408439549373453,0.008035062089116142,0.2672571219868517,0.0,0.733382030679328,0.26597881665449236,0.0006391526661796933,0.008197101052298024
roberta-large,sst-5,int8,dense,roberta.encoder.layer.21.intermediate.dense.weight,0.0001,2.16637805348821,0.18170197224251278,1.7300523390202058,0.5271625415984229,0.005934989043097152,0.18179327976625273,0.0,0.8182980277574872,0.18161066471877282,9.130752373995617e-05,0.006645167557187488
roberta-large,sst-5,int8,dense,roberta.encoder.layer.21.output.dense.weight,0.0001,2.2261406603929004,0.204163623082542,1.7904899986673688,0.5526144364800613,0.008217677136596055,0.20434623813002192,0.0,0.795836376917458,0.20398100803506208,0.00018261504747991235,0.007658713847456987
roberta-large,sst-5,int8,dense,roberta.encoder.layer.22.attention.self.query.weight,0.0001,4.291868116093474,0.13732651570489407,2.3018516603813226,0.43569541529581096,0.007304601899196494,0.13732651570489407,0.0,0.8626734842951059,0.13732651570489407,0.0,0.006591006933929592
roberta-large,sst-5,int8,dense,roberta.encoder.layer.22.attention.self.key.weight,0.0001,3.6241661496440214,0.1347699050401753,2.13584507238037,0.4538295517897683,0.008765522279035792,0.1347699050401753,0.0,0.8652300949598247,0.1347699050401753,0.0,0.006234130006753294
