model,task,precision,mode,quantizer,h,true_directional_nmse,corr_dq_dstar,sign_agreement,active_frac,norm_ratio,visible_direction_cos,num_sources
roberta-large,sst-5,int4,sparse_p0p1,G128_RTNClip,0.0012,11.57992612979488,0.2141269989394099,,0.0143726305921372,1.942746902039208,0.4655618926693719,1
roberta-large,sst-5,int4,sparse_p0p1,G128_RTNClip,0.0015,6.467862756562861,0.1806936894352357,,0.018195218325547,1.7498666447770832,0.5245830268881663,1
roberta-large,sst-5,int4,sparse_p0p1,G128_RTNClip,0.0018,4.902887992144777,0.1636999675281899,,0.0220314796003257,1.6082636051241148,0.5776973514464225,1
roberta-large,sst-5,int4,sparse_p0p1,G128_RTNClip,0.002,4.6049912334826,0.1416137159015907,,0.0245713253640305,1.53313691938287,0.6102087456091626,1
roberta-large,sst-5,int4,sparse_p0p1,G128_RTNClip,0.0025,3.2786142703312486,0.1364851674969349,,0.0307306458913445,1.3919564714655956,0.6816208077808741,1
roberta-large,sst-5,int4,sparse_p0p1,G128_RTNClip,0.003,1.4828089316074058,0.32454952684957894,,0.0435860415144669,1.1454827722286,0.8516764472455535,3
roberta-large,sst-5,int4,sparse_p0p1,G128_RTNClip,0.0035,1.1346664552758927,0.5834249581028058,,0.0416263221406965,1.2301281902680272,0.7853714392729333,1
roberta-large,sst-5,int4,sparse_p0p1,G128_RTNClip,0.004,0.9933882989619416,0.6074780910785144,,0.0462287060199539,1.1827329010652794,0.8213224505365984,1
roberta-large,sst-5,int4,sparse_p0p1,G128_RTNClip,0.005,0.9877197517485948,0.5160826314562845,,0.05981758468571237,1.0789025166886028,0.9181014329035418,4
roberta-large,sst-5,int4,sparse_p0p1,G128_RTNClip,0.007,0.9367719395874088,0.4858526186731048,,0.0645069915179993,1.060419751011554,0.9250470937797903,2
roberta-large,sst-5,int4,sparse_p0p1,G128_RTNClip,0.01,0.9148919130447271,0.3827582206724114,,0.07810984935792906,1.0160303091138185,0.9744875743241559,4
roberta-large,sst-5,int4,sparse_p0p1,G128_RTNClip,0.012,0.8794499032543447,0.1826879876610372,,0.0778729757625304,1.0099626258477747,0.968556248024365,1
roberta-large,sst-5,int4,sparse_p0p1,G128_RTNClip,0.015,0.6242793367056481,0.4740714435370366,,0.0820240672116757,0.997106982732514,0.9772201244988916,1
roberta-large,sst-5,int4,sparse_p0p1,G128_RTNClip,0.02,0.545682379714812,0.5816615537272932,,0.0863379514791056,0.9811624588322324,0.9835933111243932,1
roberta-large,sst-5,int8,dense,G128_RTNClip_shared_grid_fake_quant,1e-05,18.152915362541084,0.1893296392459962,,0.0209422971034823,5.915127474055208,0.1681932332250126,1
roberta-large,sst-5,int8,dense,G128_RTNClip_shared_grid_fake_quant,3e-05,16.543768060501403,0.3477849884349784,,0.0624878117769224,3.402045087128496,0.2915915692361752,1
roberta-large,sst-5,int8,dense,G128_RTNClip_shared_grid_fake_quant,0.0001,2.5336192422767785,0.6221396810027171,,0.2071681092781021,1.864928112383728,0.5321325258331466,1
roberta-large,sst-5,int8,dense,G128_RTNClip_shared_grid_fake_quant,0.0003,0.2569452116146749,0.9032791046462032,,0.5198217487272035,1.1789908309235035,0.8439962739293776,1
roberta-large,sst-5,int8,dense,G128_RTNClip_shared_grid_fake_quant,0.001,0.0640383636430435,0.9685803178599124,,0.8279214080370224,1.0150122656275018,0.9811201396207708,1
roberta-large,sst-5,int8,dense,G128_RTNClip_shared_grid_fake_quant,0.0015,0.0184069803733316,0.991070451685224,,0.8838019507269287,1.0048571766591958,0.9908988965400416,1
roberta-large,sst-5,int8,dense,G128_RTNClip_shared_grid_fake_quant,0.002,0.0264212641548415,0.9846273389973168,,0.9124408953473816,1.001196871535674,0.9943792421233278,1
roberta-large,sst-5,int8,dense,G128_RTNClip_shared_grid_fake_quant,0.003,0.0633373361912936,0.9744932132615268,,0.9414289122658028,0.9984012422279916,0.9968572335927398,1
roberta-large,sst-5,int8,dense,G128_RTNClip_shared_grid_fake_quant,0.004,0.1724000355830656,0.9142740305235336,,0.9560181421662718,0.9972187180302268,0.9976942060553314,1
roberta-large,sst-5,int8,dense,G128_RTNClip_shared_grid_fake_quant,0.005,0.1542996353397276,0.9300371940393972,,0.9647964847696788,0.9964800161352688,0.9980506448651172,1
roberta-large,sst-5,int8,dense,G128_RTNClip_shared_grid_fake_quant,0.01,0.7802650417920037,0.501629734167058,,0.9823864138607358,0.9935724712549888,0.9982388203319634,1
roberta-large,sst-5,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,1e-08,13047.783696321518,0.0377967424010799,,,,,1
roberta-large,sst-5,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,3e-08,2344.9090487901462,0.4112131301887962,,,,,1
roberta-large,sst-5,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,1e-07,205.01522080250544,-0.0169538858913914,,,,,1
roberta-large,sst-5,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,3e-07,18.615528759621974,0.1713128399298839,,,,,1
roberta-large,sst-5,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,1e-06,2.3058281093967765,0.6082131880114122,,,,,1
roberta-large,sst-5,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,3e-06,0.3307657896486589,0.8716428383038011,,,,,1
