group,model,dataset,seed,h,nmse,corr,mse,bias,mae,median_abs_error,alignment_eff,norm_ratio_eff,zero_coord_frac_eff,rms_snap_error,visibility_pass,empirical_oracle_flags
A_seed,roberta-large,sst-5,16,0.01,1.539770901960363,-0.2231738611960283,256.0990473696237,-2.7963112403561468,13.303713898538456,12.423429138373717,0.9999993025990431,1.0000010143344875,0.0011251944908843557,2.379379531201156e-05,True,
A_seed,roberta-large,sst-5,17,1e-05,0.1827834273864382,0.9102581576161212,54.39534927595878,1.0972209071068018,5.726992946834752,4.684100788815925,0.7952718506898574,0.9663539742463418,0.593568694478684,1.2598466255061487e-05,False,
A_seed,roberta-large,sst-5,17,3e-05,0.018663633269016402,0.9914905632056782,5.554195284237657,-0.7783385818254903,1.9426847432355039,1.5585805517006088,0.9414135903473824,1.0197213956441749,0.30572565674675256,2.0773351449153616e-05,False,
A_seed,roberta-large,sst-5,17,0.0001,0.0038896694816217873,0.9982430454227458,1.157544384883074,-0.3714375401588236,0.8485651770206415,0.743644368432772,0.99212605130294,1.0072246103864757,0.10904282302928173,2.5229774279303886e-05,False,
A_seed,roberta-large,sst-5,17,0.0003,0.0005510358333253506,0.9997241517937452,0.16398525318124868,-0.06308284452080293,0.3089435961564089,0.25906761109954635,0.9991116367772549,1.0008759027476775,0.03738056626732393,2.5307071075724726e-05,True,empirical_min_nmse;empirical_max_corr
A_seed,roberta-large,sst-5,17,0.001,0.0011439426016393835,0.9994685112805256,0.34043106783563953,-0.09952115069349157,0.4868865609145433,0.46001749337422204,0.9999226847822152,1.000080531749771,0.01125572366802612,2.4872511434027895e-05,True,
A_seed,roberta-large,sst-5,17,0.0015,0.00324542140729511,0.9985553983045243,0.9658196780841708,-0.05489713997164901,0.8285262979113989,0.8380151351545715,0.9999662305824774,1.000034508258862,0.00750609972381548,2.4658350480951617e-05,True,
A_seed,roberta-large,sst-5,17,0.002,0.008440883658748516,0.9964477333927183,2.511960856520327,0.01140309323351038,1.3516049758505928,1.2030320381051092,0.9999812794439209,1.0000225721480804,0.005630125044791717,2.4482622477531794e-05,True,
A_seed,roberta-large,sst-5,17,0.003,0.03066694620422074,0.987722999569675,9.126315628598364,0.1739449595360007,2.6001480051206585,2.8283831741028873,0.9999918580033103,1.000008127837246,0.0037528260228238235,2.4221337370959874e-05,True,
A_seed,roberta-large,sst-5,17,0.004,0.08148533102839163,0.9661708332156774,24.24958928462106,0.40974093426744596,4.259277466408463,4.40405268001595,0.9999954974403575,1.0000086911836379,0.002814943018983501,2.403291813906627e-05,True,
A_seed,roberta-large,sst-5,17,0.005,0.18221620840055866,0.9145187309131984,54.226548005000865,0.6349511240867819,6.3883883632523055,6.261370237693634,0.9999971538776846,1.0000031340459437,0.0022523325975240633,2.3913751573230808e-05,True,
A_seed,roberta-large,sst-5,17,0.01,0.7163734101103935,0.5270990972219058,213.18881264098525,0.5521721934227193,11.979312522619765,10.205715352301599,0.9999993029315158,1.0000010290383383,0.0011269236133354746,2.37932731748591e-05,True,
A_seed,roberta-large,sst-5,18,1e-05,0.2100631946461147,0.9024432790640448,73.40891952408941,0.7340313333942681,7.406373944651634,7.366875623506084,0.7952797978231814,0.9663636597383742,0.5935608955021421,1.2598430265093618e-05,False,
A_seed,roberta-large,sst-5,18,3e-05,0.020506405598626407,0.989179556977412,7.166191492297889,-0.5097189209188837,2.1771304973246117,2.0192881976351673,0.9414184172245194,1.0197276552133343,0.30571384674542146,2.0772839787434058e-05,False,
A_seed,roberta-large,sst-5,18,0.0001,0.002245322978280184,0.9987912225119195,0.7846530854481005,0.20116580910227502,0.715752994655932,0.6009067724659447,0.992125713687763,1.0072252357550107,0.10903540125453628,2.5230649195042444e-05,False,
A_seed,roberta-large,sst-5,18,0.0003,0.0003688132040030831,0.9997929282320096,0.1288858757846405,0.03586226092519114,0.28682434715137717,0.22000463573090157,0.9991115652945759,1.0008758845649721,0.03737641612830604,2.5308403653482407e-05,True,empirical_min_nmse;empirical_max_corr
A_seed,roberta-large,sst-5,18,0.001,0.001003113980736314,0.9994962371240971,0.35054933640048325,0.09733451790354455,0.4590992106227409,0.4232706925479599,0.9999226809362065,1.0000804337276845,0.011254576435267482,2.4873109618822873e-05,True,
A_seed,roberta-large,sst-5,18,0.0015,0.004034469483977204,0.9979785502600154,1.4098902293217837,0.23041182147206693,0.8656870527304927,0.7568647381221787,0.9999662301816025,1.0000345910998885,0.0075040746006045204,2.4659123086757934e-05,True,
