group,model,dataset,seed,L_mode,h2,m_L,lambda_q50,lambda_q90,lambda_q95,median_abs_K,MAD_K,SNR2,finite_rate,zero_K_frac,stability_q90_2x,stability_q90_next,stability_q90_prev,log_slope_q90_next,log_slope_q90_prev,low_h2_noise_suspected,large_h2_nonlocal_suspected,alignment_eff,norm_ratio_eff,zero_coord_frac_eff,rms_snap_error
A_seed,roberta-large,sst-5,17,L_oracle_precision,1e-05,16,0.003459948989632484,0.006639340160622065,0.006966420581792166,1411437.9882812498,724792.4804687499,1.3134820052965275,1.0,0.0,nan,0.8450715514374723,nan,1.697406728520404,nan,True,False,0.7952938660363661,0.9663886578489012,0.5935536882207009,1.2598286605557958e-05
A_seed,roberta-large,sst-5,17,L_oracle_precision,3e-05,16,0.0005714548788459884,0.001028622669718989,0.001096147109501064,233120.38845486112,135633.68055555556,1.159280992850398,1.0,0.0,nan,0.874541593030869,5.454592486262514,1.724109536740233,1.697406728520404,True,False,0.9414137435998424,1.0197351001733617,0.3057177937286384,2.0774017604109913e-05
A_seed,roberta-large,sst-5,17,L_oracle_precision,0.0001,16,6.826375799052712e-05,0.00012904936064073738,0.00015663930660700956,27847.2900390625,13351.4404296875,1.4067950126226128,1.0,0.0,nan,0.7874460815755344,6.970769150974868,1.409559682713746,1.724109536740233,True,False,0.9921260316699011,1.0072264253031515,0.10904805881083804,2.5230471581848323e-05
A_seed,roberta-large,sst-5,17,L_oracle_precision,0.0003,16,1.3713717051741506e-05,2.7429946486914652e-05,2.8208860211543596e-05,5594.889322916668,3348.4564887152783,1.1269972183659565,1.0,0.0,nan,0.0519753760549686,3.704688614599057,0.044332232627772056,1.409559682713746,False,False,0.999111572195994,1.0008754284564239,0.037379116905425336,2.5308552223625232e-05
A_seed,roberta-large,sst-5,17,L_oracle_precision,0.001,16,1.2090788240018771e-05,2.6004264651114222e-05,3.0711627364099904e-05,4932.403564453125,2693.17626953125,1.2352925665768235,1.0,0.0,0.07335996285603333,0.007713932752313415,0.0548249219927248,0.01909865700562097,0.044332232627772056,False,False,0.999922676692165,1.0000804885165617,0.01125114086537169,2.487380472458427e-05
A_seed,roberta-large,sst-5,17,L_oracle_precision,0.0015,16,1.0631058630079087e-05,2.5803669494608234e-05,3.187471435767385e-05,4336.886935763889,3443.400065104167,0.849506333205874,1.0,0.0,0.10349939164483284,0.06615635578337095,0.007773900094868433,0.23792326947117812,0.01909865700562097,False,False,0.9999662316462398,1.000034696142834,0.007502248956166497,2.4658789968262876e-05
A_seed,roberta-large,sst-5,17,L_oracle_precision,0.002,16,1.0073827658762736e-05,2.409659268885006e-05,3.062627344469573e-05,4109.382629394531,4023.5519409179688,0.6888790430397365,1.0,0.0,0.02983300563637984,0.03998853137003223,0.07084307549029513,0.10064996293387182,0.23792326947117812,False,False,0.9999812713942761,1.0000226867553959,0.005629322839833888,2.44825104612242e-05
A_seed,roberta-large,sst-5,17,L_oracle_precision,0.003,16,9.214252516427602e-06,2.313300529621256e-05,2.5248698270997853e-05,3758.748372395833,2875.8578830295137,0.8815599196814216,1.0,0.0,nan,0.07272989884803603,0.04165422255538244,0.24404268973242185,0.10064996293387182,False,False,0.9999918603387383,1.0000082179408327,0.0037544105155040883,2.42235576714098e-05
A_seed,roberta-large,sst-5,17,L_oracle_precision,0.004,16,1.2254245481617081e-05,2.481546650418708e-05,2.9542332888866398e-05,4999.1607666015625,4858.255386352539,0.6940532092410682,1.0,0.0,nan,0.41436017032434297,0.06779889227114663,1.5536064131883252,0.24404268973242185,False,False,0.9999954958180494,1.000008634888327,0.002816144487906208,2.4034944568224453e-05
A_seed,roberta-large,sst-5,17,L_oracle_precision,0.005,16,7.5662263868151924e-06,3.5098007845900235e-05,4.691108642570259e-05,3086.5478515625,3086.5478515625,0.6744907594765951,1.0,0.0,0.6795251777167736,0.6795251777167736,0.29296651519062594,1.6417170771820637,1.5536064131883252,False,True,0.9999971541161813,1.0000031629313897,0.002253008251432395,2.3913926949588755e-05
A_seed,roberta-large,sst-5,17,L_oracle_precision,0.01,16,3.4240265665205845e-06,1.1248027147384987e-05,1.2582845310056152e-05,1396.78955078125,1213.9129638671875,0.7761031251648229,1.0,0.0,nan,nan,2.1203699338234716,nan,1.6417170771820637,False,True,0.999999301144608,1.0000009532729106,0.001125647378175292,2.37942422492929e-05
A_seed,roberta-large,sst-5,18,L_clean32,1e-05,16,2.337845583854553e-05,3.945106909741728e-05,4.45624403496824e-05,9536.743164062498,3576.278686523437,1.79864202527092,1.0,0.0,nan,0.18514348300712818,nan,0.18636532298221675,nan,False,False,1.000000001438662,1.0000000070607769,0.00013773227902773554,3.1121832115151822e-09
A_seed,roberta-large,sst-5,18,L_clean32,3e-05,16,1.7371641004524518e-05,3.214696057122308e-05,3.596012132479697e-05,7086.329989963107,2516.6405571831597,1.8992239806314648,1.0,0.0,nan,0.011364253819931495,0.22720991873560453,0.009385731747203254,0.18636532298221675,False,False,0.9999999969862796,1.0000000014738295,4.5965915097000174e-05,3.1118013447932136e-09
A_seed,roberta-large,sst-5,18,L_clean32,0.0001,16,1.7870813461975714e-05,3.2512286802058044e-05,3.570305564739754e-05,7289.648056030273,2270.936965942383,2.16509763475033,1.0,0.0,nan,0.03146095261778331,0.011236558714635811,0.029097143640080328,0.009385731747203254,False,False,0.9999999942436559,0.9999999993240638,1.3741666745150787e-05,3.1084353429812354e-09
A_seed,roberta-large,sst-5,18,L_clean32,0.0003,16,1.7272481528257304e-05,3.148941925602176e-05,3.4769452156017216e-05,7045.931286282011,2171.5958913167324,2.1884437908116783,1.0,0.0,nan,0.016631762681687333,0.03248289545250291,0.013930234394106586,0.029097143640080328,False,False,1.0000000001510576,0.9999999998395819,4.6293783433469676e-06,3.0891270926033005e-09
A_seed,roberta-large,sst-5,18,L_clean32,0.001,16,1.6818452627159844e-05,3.096569469133969e-05,3.386748225498172e-05,6860.37540435791,1449.1677284240723,3.1930464127930374,1.0,0.0,0.03953043127650852,0.021161719304326865,0.016913056625708047,0.0527513660897872,0.013930234394106586,False,False,0.9999999979181745,0.9999999990894379,1.446910546550462e-06,3.037072357726942e-09
