d,Delta,G,L,n_dirs,h,A_true,envelope,rho_theory,rho_emp,vector_radius_error,V_dir,h_ref,W1_low,W1_high,W01_low,W01_high
1000,1e-05,1.0,1.0,256,1e-05,0.08455063320970443,0.2704207900099875,0.25115125194805193,0.08521696932210927,85.30218629143138,1001.0,4.997503120320104e-05,5.007739327747257e-06,0.0004987287836494369,1.5916316134022282e-05,0.00015691468570558977
1000,1e-05,1.0,1.0,256,3e-05,0.00950056986682046,0.0514049677877653,0.031479038650238655,0.00952745605433503,9.536983510389364,1001.0,4.997503120320104e-05,5.007739327747257e-06,0.0004987287836494369,1.5916316134022282e-05,0.00015691468570558977
1000,1e-05,1.0,1.0,256,0.0001,0.0035391239469134113,0.06259999000998753,0.04270761238761239,0.00355462894412162,3.5581835730657416,1001.0,4.997503120320104e-05,5.007739327747257e-06,0.0004987287836494369,1.5916316134022282e-05,0.00015691468570558977
1000,1e-05,1.0,1.0,256,0.0003,0.022621737125206147,0.38101776778776525,0.3620796891996892,0.02277375682267099,22.79653057949366,1001.0,4.997503120320104e-05,5.007739327747257e-06,0.0004987287836494369,1.5916316134022282e-05,0.00015691468570558977
1000,1e-05,1.0,1.0,256,0.001,0.25208702336830824,4.028044990009987,4.020037062937063,0.2536974805580536,253.95117803861166,1001.0,4.997503120320104e-05,5.007739327747257e-06,0.0004987287836494369,1.5916316134022282e-05,0.00015691468570558977
1000,1e-05,1.0,1.0,256,0.003,2.267158432914029,36.09202276778777,36.18011067821068,2.2815522927381022,2283.83384503084,1001.0,4.997503120320104e-05,5.007739327747257e-06,0.0004987287836494369,1.5916316134022282e-05,0.00015691468570558977
1000,1e-05,1.0,1.0,256,0.01,25.19098855299559,400.82002024001,402.00119905194805,25.350966194945148,25376.317161140094,1001.0,4.997503120320104e-05,5.007739327747257e-06,0.0004987287836494369,1.5916316134022282e-05,0.00015691468570558977
1000,1e-05,1.0,1.0,256,0.03,226.71981076715372,3607.2200200177876,3618.01078923865,228.15959468342024,228387.75427810365,1001.0,4.997503120320104e-05,5.007739327747257e-06,0.0004987287836494369,1.5916316134022282e-05,0.00015691468570558977
1000,1e-05,1.0,1.0,256,0.1,2519.11062565176,40080.02001999251,40200.119880122395,2535.1081114649405,2537643.2195764054,1001.0,4.997503120320104e-05,5.007739327747257e-06,0.0004987287836494369,1.5916316134022282e-05,0.00015691468570558977
1000,1e-05,1.0,1.0,256,0.3,22671.99717648275,360720.0200199903,361801.0789210792,22815.97448436394,22838790.4588483,1001.0,4.997503120320104e-05,5.007739327747257e-06,0.0004987287836494369,1.5916316134022282e-05,0.00015691468570558977
1000,1e-05,1.0,1.0,256,1.0,251911.05795316747,4008000.02001999,4020011.9880119883,253510.8046444018,253764315.4490462,1001.0,4.997503120320104e-05,5.007739327747257e-06,0.0004987287836494369,1.5916316134022282e-05,0.00015691468570558977
1000,1e-05,10.0,0.1,256,1e-08,111.81129428434984,25000000.020019997,250749.25074925082,1.1235440567995765,112466.76008563761,100100.0,0.0004997503120320105,5.007486930992974e-06,0.04987539218754364,1.5835071945322756e-05,0.0157719759809644
1000,1e-05,10.0,0.1,256,3e-08,111.81129428434984,2777777.7977977693,27861.02786102787,1.1235440567995765,112466.76008563761,100100.0,0.0004997503120320105,5.007486930992974e-06,0.04987539218754364,1.5835071945322756e-05,0.0157719759809644
1000,1e-05,10.0,0.1,256,1e-07,111.81129428434984,250000.02001999054,2507.4925074925127,1.1235440567995765,112466.76008563761,100100.0,0.0004997503120320105,5.007486930992974e-06,0.04987539218754364,1.5835071945322756e-05,0.0157719759809644
1000,1e-05,10.0,0.1,256,3e-07,111.81129428434984,27777.797797771407,278.6102786103149,1.1235440567995765,112466.76008563761,100100.0,0.0004997503120320105,5.007486930992974e-06,0.04987539218754364,1.5835071945322756e-05,0.0157719759809644
1000,1e-05,10.0,0.1,256,1e-06,111.81129428434984,2500.020020030091,25.074925075327087,1.1235440567995765,112466.76008563761,100100.0,0.0004997503120320105,5.007486930992974e-06,0.04987539218754364,1.5835071945322756e-05,0.0157719759809644
1000,1e-05,10.0,0.1,256,3e-06,73.4927840816415,277.7977981285078,2.7861027897207973,0.7433998766064681,74414.32764830746,100100.0,0.0004997503120320105,5.007486930992974e-06,0.04987539218754364,1.5835071945322756e-05,0.0157719759809644
1000,1e-05,10.0,0.1,256,1e-05,8.46046937431063,25.020023998009993,0.2507492909493706,0.08526349757738834,8534.876107496573,100100.0,0.0004997503120320105,5.007486930992974e-06,0.04987539218754364,1.5835071945322756e-05,0.0157719759809644
1000,1e-05,10.0,0.1,256,3e-05,0.9338540136446893,2.797833839787766,0.027861389662106786,0.00937400416977659,938.3378173946367,100100.0,0.0004997503120320105,5.007486930992974e-06,0.04987539218754364,1.5835071945322756e-05,0.0157719759809644
1000,1e-05,10.0,0.1,256,0.0001,0.08602370609069629,0.27042079000998753,0.00251151251948052,0.0008682635304614574,86.91317939919189,100100.0,0.0004997503120320105,5.007486930992974e-06,0.04987539218754364,1.5835071945322756e-05,0.0157719759809644
1000,1e-05,10.0,0.1,256,0.0003,0.008444213165814542,0.051404967787765314,0.00031479038650238664,8.494268808417142e-05,8.50276307722556,100100.0,0.0004997503120320105,5.007486930992974e-06,0.04987539218754364,1.5835071945322756e-05,0.0157719759809644
1000,1e-05,10.0,0.1,256,0.001,0.0034246822847309134,0.06259999000998753,0.00042707612387612407,3.4566259323198034e-05,3.4600825582521235,100100.0,0.0004997503120320105,5.007486930992974e-06,0.04987539218754364,1.5835071945322756e-05,0.0157719759809644
