group,model,dataset,seed,h3,m_T3,S3_sq,S3_rms,T3_abs_mean,T3_abs_median,rho3_q50,rho3_q90,rho3_q95,finite_rate,zero_T3_frac,sign_negative_frac,S3_sq_stability_2x,S3_sq_stability_next,rho3_q90_stability_2x,rho3_q90_stability_next,log_slope_S3_next,log_slope_rho_next,low_h3_noise_suspected,large_h3_nonlocal_suspected,source_output_dir
A_seed,roberta-large,sst-5,17,0.0015,16,4701003753567.527,2168179.8250070326,1967509.5876057944,2003652.0781340422,2.4320182674238045e-07,3.714449264647857e-07,4.463127015711904e-07,1.0,0.0,0.5,0.27246210035124346,0.1481749861816353,0.15256053162562014,0.005572021497824559,0.5574701083118059,0.01931491651323154,False,False,analysis/fp16_strict_twopoint_directG_T3_roberta_20260520_193448
A_seed,roberta-large,sst-5,17,0.002,16,4004432587342.8433,2001107.8400083398,1763567.328453064,1773014.6646499634,2.1520306233870977e-07,3.7351463115232684e-07,3.8632872863698205e-07,1.0,0.0,0.4375,0.21960778080879176,0.14590686133115832,0.14198656322897635,0.1572563175414351,0.3889731232438573,0.42196583088351086,False,False,analysis/fp16_strict_twopoint_directG_T3_roberta_20260520_193448
A_seed,roberta-large,sst-5,17,0.003,16,3420158397111.4395,1849367.0260690383,1574008.0012215509,2033910.2656752975,2.4683411168048073e-07,3.14776938453147e-07,3.4726081537317857e-07,1.0,0.0,0.375,nan,0.08629143139178122,nan,0.018119096743522033,0.3136921613830852,0.06241926039945518,False,False,analysis/fp16_strict_twopoint_directG_T3_roberta_20260520_193448
A_seed,roberta-large,sst-5,17,0.004,16,3125028033438.073,1767774.8820022512,1543665.53761065,1626612.6185655594,1.974279713434725e-07,3.20480430372706e-07,3.7179597014701964e-07,1.0,0.0,0.4375,nan,0.6152541227016136,nan,0.307588181956847,4.280528009744824,1.6472552553273083,False,False,analysis/fp16_strict_twopoint_directG_T3_roberta_20260520_193448
A_seed,roberta-large,sst-5,17,0.005,16,1202341652307.1826,1096513.407262849,921599.3881225584,705596.2085723876,8.564200786542508e-08,2.219041298534355e-07,2.551637560331114e-07,1.0,0.0,0.4375,0.9594797509903201,0.9594797509903201,0.8014795896068232,0.8014795896068232,4.6252131497934625,2.3326407527117783,True,True,analysis/fp16_strict_twopoint_directG_T3_roberta_20260520_193448
A_seed,roberta-large,sst-5,17,0.01,16,48719183146.19704,220724.22419434853,191094.35379505152,152998.00038337705,1.8569192352634868e-08,4.405169744685521e-08,4.8694058320454915e-08,1.0,0.0,0.625,nan,nan,nan,nan,nan,nan,False,False,analysis/fp16_strict_twopoint_directG_T3_roberta_20260520_193448
A_seed,roberta-large,sst-5,18,1e-05,16,4.312106227644106e+17,656666294.8289722,528991222.3815917,387430191.04003894,4.702011925938079e-05,0.0001302022233240485,0.0001356344174399366,1.0,0.0625,0.6875,nan,0.997249452221417,nan,0.9516361023353295,5.366729696857549,2.7571161280971155,True,False,analysis/fp16_strict_twopoint_directG_T3_roberta_20260520_193448
A_seed,roberta-large,sst-5,18,3e-05,16,1186065420546051.8,34439300.52347248,29802322.38769531,29802322.387695312,3.616865091246621e-06,6.2970860529207545e-06,6.630826254967092e-06,1.0,0.0,0.375,nan,0.9665461263482279,nan,0.8018228125923228,2.8219804323375572,1.3443773453571486,True,False,analysis/fp16_strict_twopoint_directG_T3_roberta_20260520_193448
A_seed,roberta-large,sst-5,18,0.0001,16,39678482721683.38,6299085.863971326,4947185.516357421,4380941.39099121,5.317033443784077e-07,1.247938001009134e-06,1.421481505435743e-06,1.0,0.0,0.4375,nan,0.4368394802573101,nan,0.2740332120548329,0.522650786275308,0.2915050333398362,True,False,analysis/fp16_strict_twopoint_directG_T3_roberta_20260520_193448
A_seed,roberta-large,sst-5,18,0.0003,16,22345354952144.555,4727087.364555954,3819940.266785799,2744021.239104095,3.330993994968211e-07,9.059612681141017e-07,1.0867022267155448e-06,1.0,0.0,0.5,nan,0.5267644290893612,nan,0.22941637878369084,0.6214110285787056,0.2164559703219407,True,False,analysis/fp16_strict_twopoint_directG_T3_roberta_20260520_193448
A_seed,roberta-large,sst-5,18,0.001,16,10574616807978.998,3251863.590001739,2258062.3626708984,1278817.6536560059,1.5520947263898132e-07,6.981186852487052e-07,8.616126316573756e-07,1.0,0.0,0.375,0.6222827580816646,0.37245796009008025,0.42830717111367744,0.21147341586566792,1.149160815641975,0.5859669638097776,False,False,analysis/fp16_strict_twopoint_directG_T3_roberta_20260520_193448
