precision,checkpoint,h,mse,nmse,corr,bias,mae,median_abs_error,active_frac,alignment,norm_ratio,fd_zero_ratio,d_fd_mean,d_fd_std,d_true_mean,d_true_std,num_directions,delta_q_norm_mean,nominal_delta_norm_mean,snapping_norm_error_rms_proxy
fp16,initial_cached_step0,3e-05,6.472259375919373,0.01643505093051224,0.9927174866398589,0.17171780824661254,2.1443706488609315,1.847015380859375,0.9992076746773044,0.9999999952550447,0.9999998991648945,0.0,1.7217000365257262,20.513226014918263,1.5499822282791138,19.783979618073705,50,1.211855456364174,1.2118555785607747,1.2233359521236532e-07
fp16,initial_cached_step0,0.0001,2.8221665987374296,0.007165288649091679,0.996540415445104,0.333463294506073,1.23799978017807,0.7619643211364746,0.9997621780117828,1.000000004126367,0.9999999978463725,0.0,1.8829345703125,19.633147685293604,1.549471275806427,19.785488626677473,50,4.039517062913579,4.039517071612233,2.517040555081542e-08
fp16,initial_cached_step0,0.0003,1.4132746793589732,0.002974110212512626,0.9984613567382755,-0.12720512151718139,0.980402410030365,0.8684518337249756,0.9999206897402595,0.9999999998524562,1.0000000033228222,0.0,5.96516916513443,20.674334886434185,6.092374286651611,20.930251130988932,50,12.118596067943605,12.118596027674707,6.817430993855367e-08
fp16,initial_cached_step0,0.001,1.4411866232736474,0.0030329996793771693,0.9986357498024822,-0.26293898433446883,0.9529378500580787,0.8126633167266846,0.9999761133882892,0.9999999986920433,0.9999999968217986,0.0,5.828933228552342,20.47982285250738,6.09187221288681,20.929831072485914,50,40.39538138072245,40.395381509106315,1.8012674192860764e-07
fp16,initial_cached_step0,0.0015,2.15031982555454,0.006997686401660225,0.9972866549980435,0.14702253341674804,1.155650075674057,0.9466116428375244,0.9999840854302856,1.0000000020525706,0.99999999550718,0.0,-1.0233053374290466,16.756959554128937,-1.1703278708457947,17.490581547819165,50,60.59254138091921,60.59254165314988,3.3059560989266903e-07
fp16,initial_cached_step0,0.002,4.606549429287639,0.011696506155667334,0.9945397480237262,-0.09312261044979095,1.6892231792211532,1.2202436923980713,0.9999879960722085,0.9999999991845676,0.9999999982669187,0.0,1.4574050337076188,19.09802046277196,1.5505276441574096,19.784732638533203,50,80.79051330767007,80.79051344768584,2.788354262028282e-07
fp16,initial_cached_step0,0.003,15.30960233703025,0.0388677925554556,0.9819011973900537,-0.21782511711120606,2.9304457998275755,2.308403968811035,0.9999919899620469,1.0000000000321776,0.9999999980330112,0.0,1.3330841517448426,18.32348735442537,1.5509092688560486,19.7859506967914,50,121.18575366620385,121.18575390457511,3.8827403752146615e-07
fp16,initial_cached_step0,0.004,39.77558172061675,0.10099429171608207,0.9510703357264941,-0.4246663451194763,4.818988873958587,3.7577321529388428,0.9999939419736831,0.9999999999205378,0.9999999992810706,0.0,1.1258600950241089,17.324448742071404,1.5505264401435852,19.784735718910984,50,161.58102677705108,161.58102689321458,3.758613929963831e-07
fp16,initial_cached_step0,0.005,73.09242135740111,0.15383440981214544,0.9424852623556156,-2.322115273475647,6.960286736488342,5.748446464538574,0.9999951169557467,1.000000001752795,1.0000000051825921,0.0,3.7702789306640625,15.393460377068978,6.092394204139709,20.928921182139806,50,201.97676089723763,201.97675985047516,1.3464355873588226e-06
fp16,initial_cached_step0,0.01,354.6206420690178,1.1539933999514087,0.2276319938566987,1.2981238842010498,14.716769428253174,13.155177116394043,0.99999748687388,1.0000000016587494,1.0000000006357568,0.0,0.12722015380859375,11.909886740844833,-1.170903730392456,17.49078782822755,50,403.95003959755127,403.95003934074464,1.2519069611316873e-06
