task,h,visibility_mse,active_frac,alignment,norm_ratio,Q_term,C_term,bound_proxy,fd_nmse,corr,G,L,d
sst-5,0.002,1.4794417303891298,0.024571325364030595,0.6102087456091626,1.53313691938287,5821.106806075153,2893.0894400335887,16921.749506359614,4.6049912334825995,0.14161371590159075,62.72690384513612,0.00016084839833201015,35566596.0
sst-5,0.0025,1.0399698376131858,0.030730645891344534,0.6816208077808741,1.3919564714655956,4091.9323657652235,3071.5722547146543,14253.96748910936,3.2786142703312486,0.1364851674969349,62.72690384513612,0.00016084839833201015,35566596.0
sst-5,0.003,0.7632891787466018,0.036453169816183614,0.7395190704619976,1.2964549957055431,3003.286808894251,3328.5140343887524,12655.243669054142,2.016099559056743,0.25857592379993294,62.72690384513612,0.00016084839833201015,35566596.0
sst-5,0.0035,0.5810002819588191,0.041626322140696545,0.7853714392729333,1.2301281902680272,2286.041164157576,3672.109930717213,11752.836405029735,1.1346664552758927,0.5834249581028058,62.72690384513612,0.00016084839833201015,35566596.0
sst-5,0.004,0.4560469552980382,0.0462287060199539,0.8213224505365984,1.1827329010652794,1794.3917498372916,4098.687392816937,11316.97104527649,0.9933882989619416,0.6074780910785144,62.72690384513612,0.00016084839833201015,35566596.0
sst-5,0.005,0.3022808739051508,0.05387408503690142,0.8717613300181661,1.121258185910589,1189.3738133051024,5172.977819511959,11323.240406146153,0.7160639329242005,0.6278422260150427,62.72690384513612,0.00016084839833201015,35566596.0
sst-5,0.007,0.1623229389118563,0.06453375633838927,0.9251668162819,1.0602837078881515,638.6862997526752,8107.044064111127,13296.711785596493,0.9394212045903273,0.5165973677543817,62.72690384513612,0.00016084839833201015,35566596.0
sst-5,0.01,0.08592774295108505,0.07394330730272891,0.9582432790840517,1.0227252274637846,338.09683683295447,14322.33988934943,19061.499240001285,0.6540788227461358,0.5803132130383686,62.72690384513612,0.00016084839833201015,35566596.0
rte,0.0001,41.42108676714758,0.001112447798187047,0.12752477954933475,6.4865601627675895,36238.89584364076,16745.858803980966,102253.46410950152,206.1233579204789,0.32984542780477444,29.57854002453573,0.0004323457990226267,35568337.0
rte,0.0002,20.562198774756634,0.0022464754361542485,0.1815867151675176,4.608229756406664,17989.662702564518,17062.635374117428,70092.33547376348,119.40711945785118,0.4292322602433408,29.57854002453573,0.0004323457990226267,35568337.0
rte,0.0003,13.587080367636514,0.00340081800943169,0.22385042069315889,3.778732569977375,11887.201150223784,17357.083796529114,57972.46946792524,68.65140528044752,0.4313120677867307,29.57854002453573,0.0004323457990226267,35568337.0
rte,0.0005,7.974923870821369,0.005759405535736078,0.2922917656214971,2.9494251918451417,6977.181384455546,17895.307816447686,47220.536862031986,40.72581083686445,0.3375483429805651,29.57854002453573,0.0004323457990226267,35568337.0
rte,0.0007,5.546065133628175,0.00817786438664854,0.34918728397145593,2.509742004168505,4852.1970910479695,18389.1654454692,42133.46195201946,28.14052637747406,0.38841347091814593,29.57854002453573,0.0004323457990226267,35568337.0
rte,0.00085,4.4633653511079885,0.010024862741482427,0.38719639853309495,2.288061003341218,3904.953845856229,18730.866624620525,39740.57649469786,18.886880842969852,0.2538650947873354,29.57854002453573,0.0004323457990226267,35568337.0
rte,0.001,3.69910795631969,0.011896934364589393,0.42231556936014436,2.118622794270528,3236.312670815117,19057.423502502497,38000.52211497208,13.260281424658995,0.2802667791810325,29.57854002453573,0.0004323457990226267,35568337.0
rte,0.0012,2.9690616950854096,0.014422782655791907,0.465587099169496,1.9440433625673221,2597.6024754348355,19455.209250687323,36270.67369052287,8.306094107566544,0.3325427027986438,29.57854002453573,0.0004323457990226267,35568337.0
rte,0.0015,2.229127245626198,0.018256839059332043,0.5245685328298646,1.7510673542446573,1950.2412027619653,20009.836806736526,34453.91780373957,5.644009180712009,0.23691799796496468,29.57854002453573,0.0004323457990226267,35568337.0
rte,0.0018,1.7308238386783188,0.022101797969103696,0.577652081317538,1.609400944074661,1514.2805201166732,20561.350680235177,33235.497293162785,5.74894583078826,0.08511039777640689,29.57854002453573,0.0004323457990226267,35568337.0
rte,0.002,1.481856794240242,0.024645805971366085,0.610127313126983,1.5343091535244282,1296.4617351434497,20968.198452302935,32692.4052837373,3.735541043353197,0.09432986442255921,29.57854002453573,0.0004323457990226267,35568337.0
rte,0.0025,1.042243346524167,0.030805327896031902,0.6813743159268861,1.3930724816534237,911.8483126901755,22265.09199277941,32188.574245107262,2.74358439585629,0.2784391709530108,29.57854002453573,0.0004323457990226267,35568337.0
rte,0.003,0.7654367320469623,0.03652261031997575,0.7391662369980272,1.2975598647572857,669.6729654507039,24132.468473402714,32842.25629530397,1.4508579669794035,0.44445261719318285,29.57854002453573,0.0004323457990226267,35568337.0
rte,0.0035,0.5829346451430797,0.04168540017842479,0.7849370446587047,1.2310993435758086,510.0037091673947,26616.939082883895,34495.72495980558,1.8092158735877357,0.4459790312003124,29.57854002453573,0.0004323457990226267,35568337.0
rte,0.004,0.4577434156028366,0.04627720607720688,0.8208518937230337,1.1835380307186298,400.475150601315,29696.03568763569,36993.61874351671,1.6275640812235408,0.44059240833484486,29.57854002453573,0.0004323457990226267,35568337.0
rte,0.005,0.3035953148890893,0.053904034589077804,0.8713125534334437,1.1218736702780912,265.61251414603254,37459.79994263892,44034.07052080197,1.34697680177951,0.4761943927527268,29.57854002453573,0.0004323457990226267,35568337.0
