setting,formula,h,actual_nmse,pred_nmse,pred_over_actual_nmse
fp32_seed16,old_h4_hdep_only,0.005,0.2130272008809122,48.9017646861725,229.55643450204215
fp32_seed16,old_h4_hdep_only,0.01,1.499903377587671,162.56685537003798,108.38488518606978
fp32_seed16,strict_h6_S3,1e-05,1.5530719737265915e-06,1.1560417905647957e-07,0.07443581560427473
fp32_seed16,strict_h6_S3,3e-05,5.078252565741401e-05,1.2979548776726717e-08,0.00025559084761338105
fp32_seed16,strict_h6_S3,0.0001,0.0007369482836858,1.7801079185323732e-08,2.4155126729236366e-05
fp32_seed16,strict_h6_S3,0.0003,0.0020046866030301,1.3573536577585136e-06,0.0006770902023821891
fp32_seed16,strict_h6_S3,0.001,0.0033245479180371,0.0001675585740417878,0.05040040876917748
fp32_seed16,strict_h6_S3,0.0015,0.0057249319297326,0.0007049838150742124,0.12314274190979609
fp32_seed16,strict_h6_S3,0.002,0.0165191300462089,0.002663208649260443,0.16121966724704384
fp32_seed16,strict_h6_S3,0.003,0.0572228390403873,0.013482493773534505,0.23561385627893605
fp32_seed16,strict_h6_S3,0.004,0.1285110044042941,0.04261133834264859,0.33157735043914077
fp32_seed16,strict_h6_S3,0.005,0.2130272008809122,0.10472410150333225,0.49159966929235377
fp32_seed16,strict_h6_S3,0.01,1.499903377587671,1.3925606138781292,0.9284335475781224
fp16_seed16,old_h4_full_bound,1e-05,0.2992583959710937,5.649760925652076,18.87920606978661
fp16_seed16,old_h4_full_bound,3e-05,0.0523497573724485,0.7249929759902956,13.849022657970464
fp16_seed16,old_h4_full_bound,0.0001,0.0058007814384145,0.20913710324935567,36.0532637662208
fp16_seed16,old_h4_full_bound,0.0003,0.0031969521112075,0.5535584026399268,173.15192201325965
fp16_seed16,old_h4_full_bound,0.001,0.0032858061958666,5.026384478754419,1529.7263986772532
fp16_seed16,old_h4_full_bound,0.0015,0.0079290141177249,11.177769399098914,1409.7300412306731
fp16_seed16,old_h4_full_bound,0.002,0.0195100192093623,19.790031733848895,1014.3522423777126
fp16_seed16,old_h4_full_bound,0.003,0.0660235175242663,44.39672658046878,672.4380682103342
fp16_seed16,old_h4_full_bound,0.004,0.1348888393476853,78.84618022730359,584.5270862185426
fp16_seed16,old_h4_full_bound,0.005,0.2303353718053079,123.1383570952638,534.6046338004356
fp16_seed16,old_h4_full_bound,0.01,1.539770901960363,492.23991832542464,319.68386835907097
fp16_seed16,old_h4_hdep_only,1e-05,0.2992583959710937,5.545285297741031,18.530090959508673
fp16_seed16,old_h4_hdep_only,3e-05,0.0523497573724485,0.6205173480792496,11.853299408142545
fp16_seed16,old_h4_hdep_only,0.0001,0.0058007814384145,0.10466147533831024,18.042651054771834
fp16_seed16,old_h4_hdep_only,0.0003,0.0031969521112075,0.4490827747288839,140.47216195530177
fp16_seed16,old_h4_hdep_only,0.001,0.0032858061958666,4.921908850843375,1497.9303578631389
fp16_seed16,old_h4_hdep_only,0.0015,0.0079290141177249,11.073293771187867,1396.553670705932
fp16_seed16,old_h4_hdep_only,0.002,0.0195100192093623,19.685556105937852,1008.9972692846617
fp16_seed16,old_h4_hdep_only,0.003,0.0660235175242663,44.29225095255773,670.8556680016109
fp16_seed16,old_h4_hdep_only,0.004,0.1348888393476853,78.74170459939255,583.7525549199097
fp16_seed16,old_h4_hdep_only,0.005,0.2303353718053079,123.03388146735274,534.1510533230118
fp16_seed16,old_h4_hdep_only,0.01,1.539770901960363,492.1354426975136,319.6160169483332
fp16_seed16,strict_h6_S3,1e-05,0.2992583959710937,4.763883416904872,15.9189632806995
fp16_seed16,strict_h6_S3,3e-05,0.0523497573724485,0.5293203798061658,10.111228902939391
fp16_seed16,strict_h6_S3,0.0001,0.0058007814384145,0.04763885272149787,8.212488821940303
fp16_seed16,strict_h6_S3,0.0003,0.0031969521112075,0.0052947065464635365,1.656173243228128
fp16_seed16,strict_h6_S3,0.001,0.0032858061958666,0.0006619130212930876,0.20144615410542022
fp16_seed16,strict_h6_S3,0.0015,0.0079290141177249,0.0011509468423514999,0.14515636184561934
fp16_seed16,strict_h6_S3,0.002,0.0195100192093623,0.003087491959067272,0.15825161041285257
fp16_seed16,strict_h6_S3,0.003,0.0660235175242663,0.015080431085791879,0.2284099916404668
fp16_seed16,strict_h6_S3,0.004,0.1348888393476853,0.04752409224967086,0.35232041790480695
fp16_seed16,strict_h6_S3,0.005,0.2303353718053079,0.1159719802854137,0.5034918405126225
fp16_seed16,strict_h6_S3,0.01,1.539770901960363,1.8552515599113546,1.2048880502608126
int8_rtnclip_g128_seed16,old_h4_full_bound,1e-05,18.152915362541084,1095.537505666121,60.3504992882182
int8_rtnclip_g128_seed16,old_h4_full_bound,3e-05,16.543768060501403,257.37357917991875,15.557131739195718
int8_rtnclip_g128_seed16,old_h4_full_bound,0.0001,2.5336192422767785,16.471227669013185,6.501066693119877
int8_rtnclip_g128_seed16,old_h4_full_bound,0.0003,0.2569452116146749,2.0240113574442002,7.877209871805228
int8_rtnclip_g128_seed16,old_h4_full_bound,0.001,0.0640383636430435,4.447976708335603,69.45800072483252
int8_rtnclip_g128_seed16,old_h4_full_bound,0.0015,0.0184069803733316,5.032069960241689,273.3783520262917
int8_rtnclip_g128_seed16,old_h4_full_bound,0.002,0.0264212641548415,11.229736080079164,425.02644893398855
int8_rtnclip_g128_seed16,old_h4_full_bound,0.003,0.0633373361912936,22.273016939235447,351.656989046172
int8_rtnclip_g128_seed16,old_h4_full_bound,0.004,0.1724000355830656,52.2837789089391,303.27011669175545
int8_rtnclip_g128_seed16,old_h4_full_bound,0.005,0.1542996353397276,35.26326840432822,228.53760040772417
int8_rtnclip_g128_seed16,old_h4_full_bound,0.01,0.7802650417920037,232.77346010503797,298.32614257642047
int8_rtnclip_g128_seed16,old_h4_hdep_only,1e-05,18.152915362541084,1094.7845600355681,60.30902134291215
int8_rtnclip_g128_seed16,old_h4_hdep_only,3e-05,16.543768060501403,255.79030027208003,15.461429302964225
int8_rtnclip_g128_seed16,old_h4_hdep_only,0.0001,2.5336192422767785,15.412475886055514,6.083185519306937
int8_rtnclip_g128_seed16,old_h4_hdep_only,0.0003,0.2569452116146749,1.2934012725587858,5.033762896108845
int8_rtnclip_g128_seed16,old_h4_hdep_only,0.001,0.0640383636430435,2.8953419219607675,45.21261564551688
int8_rtnclip_g128_seed16,old_h4_hdep_only,0.0015,0.0184069803733316,4.012039645957102,217.96294474078022
int8_rtnclip_g128_seed16,old_h4_hdep_only,0.002,0.0264212641548415,9.810750756110863,371.32026305081683
int8_rtnclip_g128_seed16,old_h4_hdep_only,0.003,0.0633373361912936,20.922374835618335,330.33240887219915
int8_rtnclip_g128_seed16,old_h4_hdep_only,0.004,0.1724000355830656,50.45050611404559,292.63628596954425
int8_rtnclip_g128_seed16,old_h4_hdep_only,0.005,0.1542996353397276,34.46165972658235,223.3424573603609
int8_rtnclip_g128_seed16,old_h4_hdep_only,0.01,0.7802650417920037,231.42748739634226,296.6011226965031
int8_rtnclip_g128_seed16,strict_h6_S3,1e-05,18.152915362541084,1094.7844305746662,60.30901421122562
int8_rtnclip_g128_seed16,strict_h6_S3,3e-05,16.543768060501403,255.78785022217943,15.46128120792979
int8_rtnclip_g128_seed16,strict_h6_S3,0.0001,2.5336192422767785,15.39427179694492,6.076000505550002
int8_rtnclip_g128_seed16,strict_h6_S3,0.0003,0.2569452116146749,1.1803432862021677,4.593754749445406
int8_rtnclip_g128_seed16,strict_h6_S3,0.001,0.0640383636430435,0.22588587331285642,3.527352362904958
int8_rtnclip_g128_seed16,strict_h6_S3,0.0015,0.0184069803733316,0.0663572946087049,3.60500708225042
int8_rtnclip_g128_seed16,strict_h6_S3,0.002,0.0264212641548415,0.05351725139000024,2.025537123294443
int8_rtnclip_g128_seed16,strict_h6_S3,0.003,0.0633373361912936,0.0311544848799617,0.49188183073989494
int8_rtnclip_g128_seed16,strict_h6_S3,0.004,0.1724000355830656,0.05670166744967681,0.3288959150032012
int8_rtnclip_g128_seed16,strict_h6_S3,0.005,0.1542996353397276,0.04740749743633482,0.307243094463288
